id;nome;ativo
507;FACULDADE MAIS DE ITUIUTABA;1
508;FACULDADE DE CIENCIAS SOCIAIS APLICADAS DO SUL DE MINAS FACESM;1
509;FACULDADES INTEGRADAS DE CRUZEIRO;0
510;FACULDADE WENCESLAU BRAZ;1
511;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE GUAXUPE;0
512;FACULDADE DE CIENCIAS ADMINISTR1S ECONOMICAS E CONTABEIS DE GUAXUPE;0
513;UNIVERSIDADE VALE DO RIO DOCE;1
514;CENTRO UNIVERSITARIO DE BARRA MANSA;1
515;CENTRO UNIVERSITARIO ANHANGUERA PITAGORAS UNOPAR DE NITEROI;1
516;CENTRO UNIVERSITARIO DO RIO DE JANEIRO;1
517;FACULDADE DE EDUCACAO SAO LUIS;1
518;CENTRO UNIVERSITARIO DO DISTRITO FEDERAL;1
